"year","ADID","CreativeUrl","Currency.Code","Spend","Impressions","StartDate","EndDate","OrganizationName","BillingAddress","CandidateBallotInformation","PayingAdvertiserName","CommitteeName","CommitteeIdentificationNumber","DisclosureNameOfCommittee","AdvertisingJurisdiction","Gender","AgeBracket","CountryCode","Regions..Included.","Regions..Excluded.","Electoral.Districts..Included.","Electoral.Districts..Excluded.","Radius.Targeting..Included.","Radius.Targeting..Excluded.","Metros..Included.","Metros..Excluded.","Postal.Codes..Included.","Postal.Codes..Excluded.","Location.Categories..Included.","Location.Categories..Excluded.","Interests","OsType","Segments","Language","AdvancedDemographics","Targeting.Connection.Type","Targeting.Carrier..ISP.","CreativeProperties","id","text"
2021,"b9cd130c0a05646b38401af16d854ba02ac31b0f26c6b43ed7eb809f458f8d99","https://www.snap.com/political-ads/asset/c8e02425dd10b68162ba18d63b630df25bc7f1d6429e65b0481fe7974129aa8d?mediaType=png","USD",16,2983,"2021/10/20 17:10:39Z","2021/11/03 00:00:00Z","Voter Formation Project","712 H St NE PMB 41,Washington,20002,US",NA,"Voter Formation Project",NA,NA,NA,NA,"FEMALE","18+","united states",NA,NA,NA,NA,NA,NA,NA,NA,"75210,77028,77033,77016,75241,75237,77051,77048,77026,75216,77045,77489,77053,77012,77020,77078,77067,77050,77011,77047,77087,77014,75134,77038,77085,77022,77088,77093,75232,75215,77021,77076,77083,75217,75249,77072,77029,77039,77032,77060,77013,75212,77099,75236,77017,77091,77075,77049,75203,75224,77037,77086,75115,75233,77061,77587,75227,75211,77023,77547,77506,77071,75146,77338,77036,77034,77073,77015,75104,77090,77396,77082,77031,77066,77003,77081,75051,77089,77477,77502,75223,75052,77004,75172,75137,75141,75207,75038,77054,77044,77530,77074,75243,77035,75054,75116,77449,75181,75180,77041,77064,75042,77092,77009,77002,75208,75063,77084,77040,75040,75228,75050,75061,75062,75247,75253,77503,77520,77504,75150,77080,77042,77521,75149,75235,75231,75060,75240,75254,75039,77068,75043,75246,75287,77373,77065,75041,75226,77598,77063,77433",NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,NA,4032,"VOTE BY NOV 2ND PEOPLE'S POWER GRAB"
2019,"89ed72c2e8a95e0480eabd5405c718864fd7e3467d604d1e2d396690c7589dac","https://www.snap.com/political-ads/asset/dac57692c65c5a86f43d38b8b5608d41a99ff291a7bca93139ce0f6b4ae260eb?mediaType=png","USD",1013,363604,"2019/01/26 02:44:13Z",NA,"We Bridge Consulting LLC","US",NA,"Lightfoot for Chicago",NA,NA,NA,NA,NA,"18+","united states",NA,NA,NA,NA,NA,NA,"Chicago",NA,NA,NA,NA,NA,"Political News Watchers",NA,"Provided by Advertiser",NA,NA,NA,NA,"web_view_url:https://lightfootforchicago.com/",262,"Lori Lightfoot for Mayor WGN NEWS T "" If you want the same old , same old , you have an a la carte menu of options ... But if you want an independent leader , unbought and unbossed , I'm your candidate . """
2022,"3e39eaaf5349a417dd07aeccaf811f904f0beeef1bdf5f4e663a412e7852c7dd","https://www.snap.com/political-ads/asset/ce76cd79297c203d2c43906cbaa18bf8d68f689d33430cf1c388d7b045c569fc?mediaType=png","USD",700,172324,"2022/05/23 15:21:20Z","2022/06/08 03:59:59Z","Momentum Campaigns, LLC","1835 7th St. NE, #272,Washington,20001,US","Tina McKinnor for State Assembly","CA Working Families Party","California Working Families Party","86-3626346","California Working Families Party","California State Assembly District 62",NA,"18-30","united states",NA,NA,NA,NA,"latitude 34.053691;longitude -118.242766;radius 5.0",NA,NA,NA,NA,NA,NA,NA,"Political News Watchers",NA,"Provided by Advertiser",NA,NA,NA,NA,"web_view_url:https://workingfamilies.org/state/california/?utm_source={{campaign.name}}&utm_campaign={{campaign.name}}&utm_content={{campaign.name}}",5483,"WORKING FAMILIES PARTY 401 402 403 CHECK YOUR MAIL YOUR BALLOT WILL ARRIVE AFTER MAY 9TH 301 DON'T FORGET TO VOTE FOR TINA MCKINNOR FOR STATE ASSEMBLY PAID FOR BY CALIFORNIA WORKING FAMILIES PARTY 303"
2019,"f8495e6d8764856277feb44625f624121654d25677be2defd693019dcd7d597e","https://www.snap.com/political-ads/asset/962c95bf93a8f04eac8a65d2a7f397a3703323eb9311fd844fbc88eb50cbdffa?mediaType=png","USD",257,164117,"2019/09/15 19:27:10Z","2019/10/07 19:27:42Z","Authentic Campaigns Inc","4422 N Ravenswood Ave # 101,Chicago,60640-5803,US",NA,"Voto Latino",NA,NA,NA,NA,NA,NA,"united states","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Provided by Advertiser","en,es",NA,NA,NA,"web_view_url:https://register.rockthevote.com/registrants/new?partner=37610&source=A190915VR1200",485,"DEADLINE OCT . 7 S SOMOS MOS MÁS SOMOS AS MÁS GR VOICE . OUR MOMENT . E. OUR MOMENT . WE ARE THE CHANGE . REGISTER TO VOTE !"
2024,"1913e59129d624e164421425cc7a796275416d77828be92dd20f84c27ce34fec","https://www.snap.com/political-ads/asset/fb7e0243628586588c8792186fc8219e876d312a11d94067bd3283f43b046031?mediaType=png","USD",1611,66864,"2024/10/31 17:00:06Z","2024/11/06 04:59:00Z","SBDigital","US","Courier Newsroom","Courier Newsroom",NA,NA,NA,NA,NA,"18+","united states",NA,NA,NA,NA,NA,NA,NA,NA,"59016,59022,59031,59034,59035,59050,59066,59075,59086,59089,59410,59411,59417,59421,59427,59434,59601,59602,59625,59633,59635,59639,59640,59648,59701,59714,59715,59716,59718,59727,59730,59741,59743,59748,59750,59752,59758,59760,59801,59802,59803,59804,59808,59812,59820,59821,59823,59825,59826,59833,59834,59846,59847,59851,59868",NA,NA,NA,NA,NA,"Provided by Advertiser",NA,NA,NA,NA,"web_view_url:https://apps.montanafreepress.org/election-guide-2024/candidates/jerry-lynch/",7473,"COURIER MEET CANDIDATE FOR MONTANA SUPREME COURT : JERRY LYNCH"
2025,"7871b5233ad71ca6a497f8c0aa28cc6f2a6cac125f2e403beeabdaccb3c1b4b9","https://www.snap.com/political-ads/asset/e5465e0c905b8887a56f9ee3c8ee172c53b7f730c4e9b16622f70d943f842d30?mediaType=png","USD",70,3166,"2025/11/26 12:29:32Z",NA,"Helping Hand USA","US",NA,"Helping Hand USA Self Service",NA,NA,NA,NA,NA,"18+","united states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Provided by Advertiser",NA,NA,NA,NA,"web_view_url:https://www1.hhrd.org/Campaigns/Palestine-Relief?utm_source=Paid+Social&utm_medium=Snapchat",8673,"IMS HELPING HAND FUMANITY FOR RELIEF AND DEVELOPMENT HHRD is Serving Daily Meals Families in Gaza Are Hungry Tonight 00 Make a Tax - Deductible Donation NG HA الونات"
2020,"54f33e14effba2f752bde71e51138a9d905fbc56f8e7986aa1854dabcaf65a12","https://www.snap.com/political-ads/asset/850dfe70a6c99993493a861191c9b24560c6eed548fe7fbc63816a65a987755d?mediaType=png","USD",394,98389,"2020/09/27 14:26:48Z","2020/11/04 01:00:00Z","Do Big Things","PO Box 128,Mill Valley,94942,US","Supermajority","Supermajority PAC",NA,NA,NA,NA,"FEMALE","18+","united states","Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advocates & Activists,Investors & Entrepreneurs,Philanthropists,Women's Lifestyle",NA,"Provided by Advertiser",NA,"Occupation (Blue Collar),Moms (Working)",NA,NA,"web_view_url:https://supermajority.com/educationfund-voter-checklist-arizona/?utm_source=Snap&utm_medium=OM&utm_campaign=2020vbm&utm_content=om_aw_pr_20201019_snap-aw-VBMarizona-dpost_int-az_wv3djti1&source=om_aw_pr_20201019_snap-aw-VBMarizona-dpost_int-az_wv3djti1",2467,"AMERICA NEEDS NASTY OMEN HEXE EFUGEES WE CAN FIRE TRUMP . VOTE NOW Paid for by Supermajority PAC , https://supermajority.com/pac/ . Not authorized by any candidate or candidate's committee . FLICKR : GAGE SKIDMORE"
2024,"42f9f771d460f93029890ad693c17641072a035650d161236840ef02495c67b9","https://www.snap.com/political-ads/asset/3a4b077e1f80b42369d460617a9f2f311a2d696c856fd7d5103132cb8eb9c7e2?mediaType=png","USD",8,526,"2024/10/15 17:01:00Z","2024/10/22 04:59:00Z","Progress North","PO Box 1513,Superior,54880,US","State Assembly D73 Stroud and D74 Bruce","TAKEACTION MN EDUCATION FUND",NA,NA,NA,NA,NA,"18+","united states","Wisconsin",NA,NA,NA,NA,NA,NA,NA,"54514,54517,54527,54546,54806,54846,54850,54855,54861,54814,54816,54821,54827,54832,54839,54844,54847,54856,54865,54891,54820,54836,54838,54842,54849,54854,54864,54873,54874,54880,54890,54459,54513,54515,54524,54537,54552,54555,54556,54828,54835,54843,54862,54867,54876,54896,54002,54007,54013,54015,54016,54017,54023,54025,54027,54028,54082,54463,54501,54529,54531,54539,54543,54548,54562,54564,54568",NA,NA,NA,"Advocates & Activists,Collegiates",NA,"Provided by Advertiser","en",NA,NA,NA,"web_view_url:https://progressnorth.org/beavoter",7962,"This is an independent expenditure paid for by TakeAction Minnesota , any candidate nor is any candidate responsible for it . 705 Raymond Ave # 100 , St. Paul , MN 55114. It is not coordinated with or approved by WE the People ARE NOT GOING BACK"
2022,"f73c8db46a8f9ea9ac83b4fa331d67d4b55d1f82dfca9911ee571da26b807372","https://www.snap.com/political-ads/asset/fe8b4f11733aba3dc47eeeac914ecd27be32ae818af6cd7a15b509406869f65c?mediaType=png","USD",716,222773,"2022/11/01 01:00:35Z","2022/11/09 04:59:00Z","Precision [TEST]","1121 14th Street NW Suite 700,Washington,20005,US",NA,"NAACP",NA,NA,NA,NA,NA,"18+","united states","Wisconsin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"web_view_url:https://naacp.org/campaigns/power-your-vote?utm_source=ad&utm_medium=digital&utm_campaign=TogetherPowerVote&utm_content=Power-WI",5518,"TOGETHER . POWER . VOTE ! Wisconsin We have the power . VOTE NOVEMBER 8TH NAACP Find your polling place Paid for by NAACP Empowerment Programs , Inc"
2024,"9aa1d7bbcfe0862b4917e5ebaf6e89f3b7897f2a7eed6094dfc2c8d914ef7873","https://www.snap.com/political-ads/asset/13f1f118a3de88429a5bd6e22c39eef2f7b5d2ca751d676d525f1b1d7293d467?mediaType=png","USD",11,661,"2024/12/25 11:09:08Z",NA,"Baitulmaal, Inc.","US",NA,"Baitulmaal, Inc.",NA,NA,NA,NA,NA,"20+","united states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Provided by Advertiser",NA,NA,NA,NA,"web_view_url:https://baitulmaal.org/food-aid-eoy-2024/?utm_source=snapchat&adid={{ad.id}}",6405,"723 A baitulmaalⓇ GIVE FAMILIES IN NEED A REASON TO FEEL HOPE SEND NOURISHING FOOD AID GIVE NOW - TAX - DEDUCTIBLE ail"
2020,"a8adf025557dd490fdf4fdf02b268c00050751aebdbd37a649bc1efff65692ae","https://www.snap.com/political-ads/asset/aafc58fe20c82d966374ac89c5015ef115356c880acf30195c3865c161640f24?mediaType=png","USD",1046,111354,"2020/10/21 19:11:19Z","2020/10/30 09:59:59Z","Chong and Koster","1707 L St NW Suite 950,Washington,20036,US",NA,"Voter Participation Center",NA,NA,NA,NA,NA,"18+","united states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"web_view_url:https://www.voterparticipation.org/early-voting-locations/?utm_source=vpc&utm_campaign=CK-VPC-EV20-SC-VPC.B01-AZ-AZML-C01_T01_D00_P07",2287,"I VOTED EARLY VOTING IS OPEN CHOOSE WHEN AND WHERE TO VOTE"
2020,"f7f9dd58f57f807b990eeae7b62255404bb27e0eedcedc9fd77b7d45117ac817","https://www.snap.com/political-ads/asset/73282c63af6225c1a7242aea4e296790dc42379444887ee016474a308563c19b?mediaType=png","USD",279,41222,"2020/07/21 21:20:49Z","2020/08/05 03:59:59Z","ACRONYM","US",NA,"ACRONYM",NA,NA,NA,NA,NA,"18-34","united states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"web_view_url:https://www.peoplespowergrab.org/register?utm_source=snap&utm_medium=paid-cnv&utm_campaign=ete-rg-em&utm_term=as-uaa-cl&utm_content=6D5AE348",2565,"We Can Do It ! PEOPLE'S POWER GRAB"
2020,"e64f3368e71dfe74f9b9cc542c7106bc34288dedba02c59e60181d0ea21c344e","https://www.snap.com/political-ads/asset/a5e6a2bbdf3dfb064564725c302df8373a342b4d72b9c5ff19ccbcc2df13ce37?mediaType=png","USD",845,251302,"2020/08/27 21:52:07Z",NA,"Chong and Koster","1707 L St NW Suite 950,Washington,20036,US",NA,"Voter Participation Center",NA,NA,NA,NA,NA,"18-45","united states","Wisconsin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"web_view_url:https://register.vote.org/?partner=243304&campaign=CK-VPC-OVR20-SC-VDO.C04-WI-LALPIXEL-BO-18.45-C01_T01_D00_P01",732,"SWIPE UP TO REGISTER TO VOTE ONLINE DEADLINE 10/14 WISCONSIN FORWARD 1848 ^"
2020,"6925960ac0017c881340181ec78538593a69ee804ff540cf66459380cca9ceb2","https://www.snap.com/political-ads/asset/e7875d997d2b131cc9359721c6863e599acfdd00959be2306f6081cd2129e9bc?mediaType=png","USD",1,412,"2020/10/23 18:38:01Z","2020/11/01 04:59:59Z","Delia Parker-Mims for Denton County Commissioner","US",NA,"Better Together DC",NA,NA,NA,NA,NA,"18+","united states",NA,NA,NA,NA,"latitude 33.0146;longitude -97.097;radius 5.0,latitude 33.0462;longitude -96.9942;radius 5.0,latitude 33.0918;longitude -97.0467;radius 2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Provided by Advertiser",NA,NA,NA,NA,"web_view_url:https://votedeliaparkermims.com/vote",951,"Paid for by Better Together DC RED IS SUS VOTE ' EM OUT I VOTED DEMOCRAT DELIA PARKER - MIMS Democrat for Denton County Commissioner 3"
2019,"ecb5b298fdeb484a7b18b7535e857927df7f9d23e4a6af318d0aaaf869ce6c2b","https://www.snap.com/political-ads/asset/2853f37e3fcc797e108bd3d15a165a536fef141e2b1b8395a973b21f90bb2aab?mediaType=png","USD",30,1886,"2019/12/13 00:41:45Z","2020/01/01 04:59:59Z","Warren for President","90 Cambridge Street,Charlestown,02129,US","Warren for President","Warren for President",NA,NA,NA,NA,NA,"18+","united states",NA,NA,NA,NA,NA,NA,NA,NA,"32307,32399,32310,32301",NA,NA,NA,"Collegiates",NA,"Provided by Advertiser",NA,NA,NA,NA,"web_view_url:https://my.elizabethwarren.com/page/s/ew-gun-safety-om?source=WFP2019-LB-HBCU-SN-US-FAMU&subsource=US-INT-18_65-MF-FAMU-STA-GVP-ACCO&utm_source=Snapchat&utm_medium=STA&utm_campaign=WFP2019&utm_content=FAMU",631,"I WILL HOLD THE NRA ACCOUNTABLE SWIPE UP ^ IF YOU'RE WITH ME"
